Ar,Manad,Antal
1975,1,1345
1975,2,1318
1975,3,1361
1975,4,1631
1975,5,1413
1975,6,1461
1975,7,1084
1975,8,1187
1975,9,1384
1975,10,1443
1975,11,1358
1975,12,1055
1976,1,1199
1976,2,1242
1976,3,1654
1976,4,1518
1976,5,1509
1976,6,1557
1976,7,1120
1976,8,1299
1976,9,1438
1976,10,1552
1976,11,1797
1976,12,2702
1977,1,1506
1977,2,1432
1977,3,1961
1977,4,1854
1977,5,1820
1977,6,1712
1977,7,1093
1977,8,1240
1977,9,1592
1977,10,1516
1977,11,1589
1977,12,2110
1978,1,1765
1978,2,1263
1978,3,1828
1978,4,1634
1978,5,1245
1978,6,1345
1978,7,748
1978,8,1067
1978,9,1235
1978,10,1381
1978,11,1363
1978,12,1540
1979,1,1322
1979,2,1163
1979,3,1293
1979,4,1267
1979,5,1503
1979,6,1458
1979,7,1164
1979,8,1213
1979,9,1343
1979,10,1493
1979,11,1724
1979,12,1516
1980,1,1579
1980,2,1565
1980,3,1632
1980,4,1723
1980,5,1226
1980,6,1551
1980,7,1296
1980,8,1347
1980,9,1643
1980,10,1805
1980,11,1769
1980,12,2006
1981,1,1344
1981,2,1566
1981,3,1657
1981,4,1607
1981,5,1567
1981,6,1622
1981,7,1238
1981,8,1207
1981,9,1405
1981,10,1579
1981,11,1687
1981,12,1837
1982,1,1326
1982,2,1351
1982,3,1640
1982,4,1545
1982,5,1512
1982,6,1583
1982,7,1166
1982,8,1224
1982,9,1295
1982,10,1568
1982,11,1896
1982,12,1879
1983,1,1424
1983,2,1262
1983,3,1385
1983,4,1406
1983,5,1660
1983,6,1789
1983,7,1010
1983,8,1278
1983,9,1372
1983,10,1452
1983,11,1607
1983,12,2025
1984,1,1546
1984,2,1515
1984,3,1708
1984,4,1590
1984,5,2031
1984,6,1868
1984,7,1178
1984,8,1439
1984,9,1433
1984,10,1855
1984,11,1796
1984,12,1950
1985,1,1883
1985,2,1708
1985,3,2082
1985,4,2257
1985,5,1630
1985,6,2148
1985,7,1551
1985,8,1451
1985,9,1640
1985,10,2036
1985,11,1966
1985,12,2122
1986,1,2037
1986,2,1769
1986,3,1855
1986,4,2265
1986,5,1995
1986,6,2303
1986,7,1600
1986,8,1561
1986,9,1894
1986,10,2287
1986,11,2186
1986,12,2573
1987,1,1864
1987,2,2161
1987,3,2276
1987,4,2424
1987,5,2613
1987,6,2971
1987,7,2273
1987,8,2120
1987,9,2487
1987,10,2838
1987,11,2705
1987,12,3473
1988,1,2278
1988,2,2601
1988,3,3109
1988,4,2789
1988,5,3274
1988,6,3683
1988,7,2647
1988,8,2771
1988,9,3210
1988,10,3329
1988,11,3526
1988,12,4170
1989,1,3472
1989,2,3102
1989,3,3825
1989,4,4075
1989,5,3728
1989,6,4021
1989,7,2588
1989,8,3143
1989,9,3242
1989,10,3482
1989,11,3670
1989,12,4453
1990,1,3760
1990,2,2734
1990,3,3380
1990,4,2853
1990,5,3327
1990,6,3205
1990,7,2037
1990,8,2509
1990,9,2419
1990,10,2688
1990,11,2404
1990,12,2425
1991,1,2206
1991,2,1697
1991,3,1802
1991,4,2175
1991,5,2096
1991,6,2280
1991,7,1317
1991,8,1413
1991,9,1329
1991,10,1538
1991,11,1366
1991,12,1477
1992,1,1166
1992,2,967
1992,3,1085
1992,4,1209
1992,5,1125
1992,6,1333
1992,7,731
1992,8,783
1992,9,929
1992,10,788
1992,11,757
1992,12,1127
1993,1,720
1993,2,746
1993,3,776
1993,4,749
1993,5,721
1993,6,779
1993,7,539
1993,8,508
1993,9,699
