"year";"month";"Index"
1990;1;79
1990;2;84.9
1990;3;84.8
1990;4;84.5
1990;5;83.5
1990;6;92.5
1990;7;40.1
1990;8;76.5
1990;9;82.5
1990;10;83.1
1990;11;83.4
1990;12;83.7
1991;1;80.6
1991;2;80
1991;3;80.1
1991;4;84.1
1991;5;84.1
1991;6;90.1
1991;7;45.9
1991;8;78.2
1991;9;87.3
1991;10;85
1991;11;87.2
1991;12;80.3
1992;1;87.4
1992;2;84.6
1992;3;83.9
1992;4;89.8
1992;5;85.1
1992;6;91.7
1992;7;43.5
1992;8;82.8
1992;9;88.5
1992;10;84.5
1992;11;82.8
1992;12;72.7
1993;1;79.7
1993;2;79.3
1993;3;82.2
1993;4;89.8
1993;5;83.3
1993;6;89.5
1993;7;53.2
1993;8;82.2
1993;9;90.7
1993;10;91.7
1993;11;87.5
1993;12;83.3
1994;1;89.5
1994;2;99
1994;3;97.5
1994;4;101.9
1994;5;98
1994;6;102.7
1994;7;53.2
1994;8;88.6
1994;9;101
1994;10;97.9
1994;11;97.1
1994;12;89.9
1995;1;99.8
1995;2;106.7
1995;3;102.1
1995;4;101.3
1995;5;98.9
1995;6;110.9
1995;7;54.8
1995;8;94.5
1995;9;103.9
1995;10;102.7
1995;11;98.2
1995;12;90.1
1996;1;91.6
1996;2;95.4
1996;3;92
1996;4;96.6
1996;5;100.5
1996;6;102.9
1996;7;71.8
1996;8;97.3
1996;9;100.7
1996;10;102.6
1996;11;103.9
1996;12;94.6
1997;1;99.8
1997;2;99.2
1997;3;102.5
1997;4;101.2
1997;5;101.4
1997;6;107.2
1997;7;67.9
1997;8;97.1
1997;9;104.6
1997;10;104.5
1997;11;104.2
1997;12;93.9
1998;1;101.5
1998;2;99.2
1998;3;98.9
1998;4;102.2
1998;5;100.9
1998;6;106.8
1998;7;68
1998;8;94.5
1998;9;104.7
1998;10;100.7
1998;11;101.9
1998;12;93.5
1999;1;99.8
1999;2;101.3
1999;3;99.9
1999;4;104.5
1999;5;104.2
1999;6;107.6
1999;7;73
1999;8;93.2
1999;9;108.7
1999;10;107.1
1999;11;107.7
1999;12;100.8
2000;1;93.5
2000;2;101.7
2000;3;98.8
2000;4;107
2000;5;103.8
2000;6;107.6
2000;7;70.5
2000;8;94.8
2000;9;104.8
2000;10;107.6
2000;11;107.6
2000;12;102.4
2001;1;100.8
2001;2;101.3
2001;3;102.8
2001;4;109.3
2001;5;107.3
2001;6;113.9
2001;7;75.5
2001;8;96.9
2001;9;106.2
2001;10;107.5
2001;11;112
2001;12;109.1
2002;1;109.9
2002;2;111.3
2002;3;112.9
2002;4;112.5
2002;5;116.7
2002;6;121.5
2002;7;88.4
2002;8;111.4
2002;9;119.9
2002;10;117.8
2002;11;119.7
2002;12;110.9
2003;1;113.2
2003;2;111
2003;3;108.9
2003;4;119.5
2003;5;114
2003;6;126.6
2003;7;90.7
2003;8;113.5
2003;9;117.4
2003;10;121.2
2003;11;125.7
2003;12;116.1
2004;1;115.6
2004;2;116
2004;3;118.2
2004;4;125.2
2004;5;127.2
2004;6;131.7
2004;7;91.6
2004;8;117.2
2004;9;124.2
2004;10;120.8
